id,Datum,Z1,Z2,Z3,Z4,Z5,EZ1,EZ2
266,2017-04-21,49,44,27,31,46,6,8
267,2017-04-28,3,38,45,39,41,5,3
268,2017-05-05,41,11,42,23,8,8,6
269,2017-05-12,31,14,7,46,35,2,1
270,2017-05-19,41,33,22,50,46,6,2
271,2017-05-26,11,13,3,23,15,1,9
272,2017-06-02,4,17,46,2,20,1,8
273,2017-06-09,13,24,47,17,20,8,5
274,2017-06-16,31,24,38,1,25,7,1
275,2017-06-23,6,14,27,35,19,2,4
276,2017-06-30,11,31,1,3,18,6,3
277,2017-07-07,15,17,30,16,23,9,6
278,2017-07-14,49,3,9,25,31,9,8
279,2017-07-21,27,36,38,35,48,2,3
280,2017-07-28,40,45,26,14,18,1,5
281,2017-08-04,39,44,46,47,18,4,6
282,2017-08-11,40,21,13,23,14,1,3
283,2017-08-18,32,4,20,34,1,6,3
284,2017-08-25,28,20,45,41,11,9,5
285,2017-09-01,19,3,9,4,28,7,1
286,2017-09-08,40,48,42,38,11,5,4
287,2017-09-15,47,33,15,22,29,3,7
288,2017-09-22,17,47,36,32,10,5,2
289,2017-09-29,15,12,2,44,29,10,7
290,2017-10-06,28,44,40,17,5,8,1
291,2017-10-13,9,44,46,40,43,1,8
292,2017-10-20,10,25,46,1,49,6,1
293,2017-10-27,23,29,50,2,20,4,5
294,2017-11-03,35,2,45,50,44,6,7
295,2017-11-10,14,17,1,50,24,9,8
296,2017-11-17,4,3,41,47,17,5,2
297,2017-11-24,11,22,43,18,16,7,8
298,2017-12-01,5,29,20,16,30,2,7
299,2017-12-08,9,20,24,34,15,5,1
300,2017-12-15,18,12,16,7,1,4,1
301,2017-12-22,32,16,40,26,47,1,6
302,2017-12-29,16,43,40,33,30,2,4
303,2018-01-05,40,2,38,45,7,10,7
304,2018-01-12,25,17,16,40,44,9,2
305,2018-01-19,47,45,3,9,17,4,9
306,2018-01-26,23,29,10,26,35,5,3
307,2018-02-02,15,29,41,24,33,7,8
308,2018-02-09,46,8,24,34,7,8,4
309,2018-02-16,4,19,25,8,44,10,9
310,2018-02-23,26,46,18,42,33,10,4
311,2018-03-02,27,16,20,46,18,3,5
312,2018-03-09,23,28,15,33,36,7,4
313,2018-03-16,37,27,48,49,4,3,4
314,2018-03-23,4,14,42,22,33,1,10
315,2018-03-30,15,5,29,32,17,7,5
316,2018-04-06,16,8,23,50,6,4,8
317,2018-04-13,25,10,3,34,21,7,10
318,2018-04-20,46,22,25,28,24,4,2
319,2018-04-27,33,21,9,32,31,9,10
320,2018-05-04,26,49,24,29,36,3,6
321,2018-05-11,37,17,39,14,3,10,5
322,2018-05-18,23,1,11,41,44,2,8
323,2018-05-25,15,46,40,31,35,8,3
324,2018-06-01,14,21,19,30,32,7,4
325,2018-06-08,39,5,22,13,36,10,9
326,2018-06-15,21,9,5,7,1,3,10
327,2018-06-22,16,35,33,24,43,6,7
328,2018-06-29,47,18,30,9,48,4,6
329,2018-07-06,38,7,45,24,2,5,8
330,2018-07-13,13,46,34,14,21,5,2
331,2018-07-20,43,33,42,40,13,9,7
332,2018-07-27,40,50,43,2,22,8,3
333,2018-08-03,25,31,12,4,8,8,7
334,2018-08-10,4,17,21,15,23,6,7
335,2018-08-17,12,2,43,44,32,3,4
336,2018-08-24,26,25,8,48,38,6,9
337,2018-08-31,24,6,9,18,3,7,2
338,2018-09-07,28,36,4,43,7,1,6
339,2018-09-14,49,33,35,24,46,9,5
340,2018-09-21,8,16,42,46,5,2,10
341,2018-09-28,40,3,18,8,13,6,10
342,2018-10-05,32,12,44,49,15,5,7
343,2018-10-12,26,50,42,31,6,2,9
344,2018-10-19,9,48,32,12,28,7,8
345,2018-10-26,44,18,19,33,38,4,10
346,2018-11-02,5,42,33,17,27,9,10
347,2018-11-09,8,46,32,34,49,3,5
348,2018-11-16,45,13,15,18,39,5,6
349,2018-11-23,46,28,22,31,17,5,10
350,2018-11-30,18,22,35,41,36,3,4
351,2018-12-07,16,42,31,4,21,6,4
352,2018-12-14,30,24,26,4,14,10,9
353,2018-12-21,20,34,49,16,3,10,2
354,2018-12-28,38,31,24,40,19,10,7
355,2019-01-04,25,3,32,10,43,3,1
356,2019-01-11,49,35,6,39,12,9,4
357,2019-01-18,2,9,36,47,23,9,2
358,2019-01-25,24,35,28,48,25,8,4
359,2019-02-01,6,45,47,38,29,2,3
360,2019-02-08,26,21,24,5,8,5,4
361,2019-02-15,30,24,31,1,47,7,9
362,2019-02-22,26,25,14,21,16,10,8
363,2019-03-01,24,7,19,18,16,1,6
364,2019-03-08,29,45,4,30,31,7,1
365,2019-03-15,19,2,11,1,47,7,2
366,2019-03-22,24,20,49,44,15,9,7
367,2019-03-29,42,15,24,9,4,8,9
368,2019-04-05,31,22,50,43,44,9,1
369,2019-04-12,16,30,14,21,37,8,4
370,2019-04-19,43,47,18,37,21,3,1
371,2019-04-26,1,11,17,38,6,8,4
372,2019-05-03,19,3,42,10,9,1,7
373,2019-05-10,29,15,7,19,5,8,3
374,2019-05-17,27,33,20,46,35,9,5
375,2019-05-24,50,47,38,26,8,3,7
376,2019-05-31,10,35,12,36,43,5,2
377,2019-06-07,8,20,7,38,35,9,5
378,2019-06-14,42,40,41,8,23,10,2
379,2019-06-21,45,41,20,37,27,1,7
380,2019-06-28,38,18,26,25,35,6,5
381,2019-07-05,50,1,48,15,34,10,6
382,2019-07-12,36,31,40,45,42,7,9
383,2019-07-19,47,32,45,49,31,9,7
384,2019-07-26,46,8,30,3,48,1,3
385,2019-08-02,6,41,38,44,11,9,10
386,2019-08-09,4,49,20,21,2,9,10
387,2019-08-16,20,44,42,7,35,7,3
388,2019-08-23,19,18,15,41,42,6,4
389,2019-08-30,35,10,46,18,32,10,3
390,2019-09-06,29,21,24,30,50,1,5
391,2019-09-13,22,33,21,47,3,9,2
392,2019-09-20,21,48,17,49,41,8,4
393,2019-09-27,34,21,24,47,26,6,4
394,2019-10-04,15,19,20,45,49,8,7
395,2019-10-11,44,39,8,12,13,4,9
396,2019-10-18,44,9,6,43,31,6,9
397,2019-10-25,34,2,30,45,35,1,2
398,2019-11-01,17,40,31,3,34,2,1
399,2019-11-08,49,39,14,23,20,10,4
400,2019-11-15,24,30,39,10,19,4,2
401,2019-11-22,3,24,12,37,38,3,7
402,2019-11-29,31,2,30,45,3,8,6
403,2019-12-06,8,14,30,23,45,1,9
404,2019-12-13,25,31,49,38,50,5,10
405,2019-12-20,22,35,12,20,21,4,10
406,2019-12-27,28,45,7,34,12,6,3
